Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,39.700001,39.799999,39.680000,39.770000,39.517204,618500
2019-11-26,39.759998,39.840000,39.720001,39.799999,39.547012,710300
2019-11-27,39.759998,39.820000,39.709999,39.799999,39.547012,789400
2019-11-29,39.730000,39.820000,39.660000,39.720001,39.467522,2167700
2019-12-02,39.500000,39.509998,39.099998,39.240002,38.990574,2512700
2019-12-03,38.939999,39.200001,38.799999,39.200001,38.950829,2881300
2019-12-04,39.509998,39.630001,39.480000,39.580002,39.328411,991700
2019-12-05,39.669998,39.680000,39.419998,39.540001,39.288666,1150200
2019-12-06,39.830002,39.840000,39.700001,39.779999,39.527138,869800
2019-12-09,39.689999,39.750000,39.480000,39.500000,39.248920,1262700
2019-12-10,39.500000,39.689999,39.430000,39.599998,39.348282,1360900
2019-12-11,39.689999,39.970001,39.689999,39.930000,39.676186,2420700
2019-12-12,39.950001,40.340000,39.930000,40.290001,40.033897,1791000
2019-12-13,40.520000,40.820000,40.389999,40.500000,40.242561,2282100
2019-12-16,40.900002,41.009998,40.869999,40.910000,40.649956,1448000
2019-12-17,40.799999,40.810001,40.650002,40.669998,40.411480,1174900
2019-12-18,40.630001,40.660000,40.459999,40.520000,40.262436,650000
2019-12-19,40.430000,40.529999,40.369999,40.509998,40.252495,1668300
2019-12-20,40.580002,40.660000,40.529999,40.610001,40.454723,1248200
2019-12-23,40.599998,40.689999,40.599998,40.619999,40.464684,512700
2019-12-24,40.570000,40.590000,40.470001,40.549999,40.394951,523100
2019-12-26,40.570000,40.790001,40.570000,40.790001,40.634033,1415900
2019-12-27,41.000000,41.029999,40.900002,40.930000,40.773499,1180500
2019-12-30,40.900002,40.910000,40.540001,40.590000,40.434799,1818500
2019-12-31,40.599998,40.790001,40.459999,40.790001,40.634033,1386300
2020-01-02,41.130001,41.270000,41.090000,41.259998,41.102234,1725200
2020-01-03,40.650002,40.930000,40.650002,40.730000,40.574265,1267600
2020-01-06,40.610001,40.840000,40.590000,40.799999,40.643993,837500
2020-01-07,40.689999,40.709999,40.549999,40.570000,40.414875,1140500
2020-01-08,40.549999,40.910000,40.549999,40.770000,40.614109,1844100
