Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region
3/2/20,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400,India
3/3/20,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600,India
3/4/20,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300,India
3/5/20,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500,India
3/6/20,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000,India
3/9/20,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800,India
3/11/20,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900,India
3/12/20,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200,India
3/13/20,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600,India
3/16/20,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100,India
3/17/20,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500,India
3/18/20,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300,India
3/19/20,27773.35938,29370.5293,26714.46094,28288.23047,28288.23047,33200,India
3/20/20,28460.82031,30418.19922,27932.66992,29915.96094,29915.96094,32100,India
3/23/20,27608.80078,27900.83008,25880.83008,25981.24023,25981.24023,21800,India
3/24/20,27056.23047,27462.86914,25638.90039,26674.0293,26674.0293,24700,India
3/25/20,26499.81055,28790.18945,26359.91016,28535.7793,28535.7793,141500,India
3/26/20,29073.71094,30099.91016,28566.33984,29946.76953,29946.76953,35000,India
3/27/20,30747.81055,31126.0293,29346.99023,29815.58984,29815.58984,116900,India
3/30/20,29226.55078,29497.57031,28290.99023,28440.32031,28440.32031,23200,India
3/31/20,29294.93945,29770.88086,28667.35938,29468.49023,29468.49023,26400,India
4/1/20,29505.33008,29505.98047,28073.42969,28265.31055,28265.31055,18000,India
4/3/20,28623.5293,28639.11914,27500.78906,27590.94922,27590.94922,18900,India
