Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,2773.575928,2780.586914,2754.072998,2763.987061,2763.987061,200800
2020-04-07,2806.968018,2823.277100,2801.839111,2820.762939,2820.762939,270200
2020-04-08,2805.916992,2823.214111,2800.295898,2815.368896,2815.368896,243500
2020-04-09,2825.839111,2832.395020,2820.433105,2825.904053,2825.904053,238200
2020-04-10,2827.187012,2833.014893,2789.976074,2796.631104,2796.631104,233500
2020-04-13,2784.597900,2792.891113,2774.081055,2783.048096,2783.048096,177100
2020-04-14,2794.801025,2827.298096,2789.427979,2827.282959,2827.282959,202700
2020-04-15,2826.662109,2829.750000,2808.704102,2811.174072,2811.174072,205600
2020-04-16,2798.429932,2823.337891,2796.839111,2819.935059,2819.935059,203000
2020-04-17,2835.558105,2854.959961,2830.021973,2838.495117,2838.495117,245700
2020-04-20,2840.408936,2852.989990,2833.261963,2852.552979,2852.552979,211800
2020-04-21,2842.237061,2842.237061,2808.020996,2827.012939,2827.012939,233200
2020-04-22,2814.065918,2843.979980,2808.481934,2843.979980,2843.979980,217300
