Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
12/18/19,3021.466064,3033.233887,3011.720947,3017.043945,3017.043945,244100,China,422.3861523
12/19/19,3019.639893,3027.483887,3002.26001,3004.937988,3004.937988,215100,China,#VALUE!
12/20/19,3019.639893,3027.483887,3002.26001,3004.937988,3004.937988,215100,China,420.6913183
12/23/19,2999.035889,3009.337891,2960.435059,2962.750977,2962.750977,205700,China,414.7851368
12/24/19,2965.825928,2983.819092,2960.684082,2982.680908,2982.680908,163000,China,417.5753271
12/25/19,2980.427979,2988.291992,2970.656982,2981.881104,2981.881104,175700,China,417.4633546
12/26/19,2981.249023,3007.35498,2980.396973,3007.35498,3007.35498,182400,China,421.0296972
12/27/19,3006.852051,3036.113037,3003.631104,3005.035889,3005.035889,247100,China,420.7050245
12/30/19,2998.168945,3041.396973,2983.343994,3040.023926,3040.023926,248100,China,425.6033496
12/31/19,3036.385986,3051.677002,3030.511963,3050.124023,3050.124023,217400,China,427.0173632
1/2/20,3066.335938,3098.100098,3066.335938,3085.197998,3085.197998,292500,China,431.9277197
1/3/20,3089.021973,3093.819092,3074.518066,3083.785889,3083.785889,261500,China,431.7300245
1/6/20,3070.908936,3107.202881,3065.309082,3083.407959,3083.407959,312600,China,431.6771143
1/7/20,3085.488037,3105.450928,3084.329102,3104.802002,3104.802002,276600,China,434.6722803
1/8/20,3094.239014,3094.239014,3059.131104,3066.893066,3066.893066,297900,China,429.3650292
1/9/20,3082.639893,3097.329102,3080.131104,3094.88208,3094.88208,243400,China,433.2834912
1/10/20,3102.293945,3105.225098,3081.395996,3092.291016,3092.291016,210400,China,432.9207422
1/13/20,3091.49292,3115.570068,3075.384033,3115.570068,3115.570068,210600,China,436.1798095
1/14/20,3120.666992,3127.168945,3105.60498,3106.820068,3106.820068,230000,China,434.9548095
1/15/20,3103.169922,3107.939941,3082.040039,3090.040039,3090.040039,202300,China,432.6056055
1/16/20,3095.733887,3096.37207,3070.884033,3074.081055,3074.081055,203400,China,430.3713477
1/17/20,3081.464111,3091.951904,3067.25293,3075.496094,3075.496094,190300,China,430.5694532
1/20/20,3082.113037,3096.311035,3070.47998,3095.787109,3095.787109,210500,China,433.4101953
1/21/20,3085.790039,3085.790039,3051.22998,3052.139893,3052.139893,234800,China,427.299585
1/22/20,3038.487061,3069.25293,3006.268066,3060.754883,3060.754883,223900,China,428.5056836
1/23/20,3037.951904,3045.041016,2955.345947,2976.528076,2976.528076,272800,China,416.7139306
2/3/20,2716.697998,2766.576904,2716.697998,2746.605957,2746.605957,215900,China,384.524834
2/4/20,2685.269043,2786.164063,2685.269043,2783.288086,2783.288086,364000,China,389.660332
2/5/20,2792.371094,2842.74292,2778.864014,2818.087891,2818.087891,309800,China,394.5323047
2/6/20,2826.889893,2876.590088,2807.610107,2866.51001,2866.51001,316400,China,401.3114014
2/7/20,2858.929932,2875.959961,2838.77002,2875.959961,2875.959961,309500,China,402.6343945
2/10/20,2860.499023,2891.8479,2851.050049,2890.488037,2890.488037,294900,China,404.6683252
2/11/20,2894.540039,2913.820068,2882.23999,2901.669922,2901.669922,269200,China,406.2337891
2/12/20,2895.555908,2926.898926,2892.424072,2926.898926,2926.898926,248700,China,409.7658496
2/13/20,2927.144043,2935.406006,2901.24292,2906.073975,2906.073975,274800,China,406.8503565
2/14/20,2899.865967,2926.943115,2899.573975,2917.008057,2917.008057,250700,China,408.381128
2/17/20,2924.990967,2983.636963,2924.990967,2983.62207,2983.62207,313200,China,417.7070898
2/18/20,2981.409912,2990.600098,2960.774902,2984.971924,2984.971924,311700,China,417.8960694
2/19/20,2979.521973,2998.271973,2971.822021,2975.4021,2975.4021,315100,China,416.556294
2/20/20,2981.879883,3031.371094,2968.445068,3030.154053,3030.154053,345700,China,424.2215674
2/21/20,3022.246094,3058.897949,3020.141113,3039.668945,3039.668945,364600,China,425.5536523
2/24/20,3027.893066,3042.181885,3007.355957,3031.23291,3031.23291,370400,China,424.3726074
2/25/20,2982.070068,3016.946045,2943.717041,3013.050049,3013.050049,441600,China,421.8270069
2/26/20,2987.928955,2987.928955,2987.928955,2987.928955,2987.928955,0,China,418.3100537
2/27/20,2992.48999,3009.459961,2980.47998,2991.330078,2991.330078,350500,China,418.7862109
2/28/20,2924.641113,2948.125977,2878.543945,2880.303955,2880.303955,401200,China,403.2425537
3/2/20,2899.310059,2982.50708,2899.310059,2970.930908,2970.930908,367300,China,415.9303271
3/3/20,3006.888916,3026.842041,2976.623047,2992.896973,2992.896973,410100,China,419.0055762
3/4/20,2981.805908,3012.003906,2974.35791,3011.666016,3011.666016,353300,China,421.6332422
3/5/20,3036.155029,3074.25708,3022.926025,3071.677002,3071.677002,445400,China,430.0347803
3/6/20,3039.939941,3052.444092,3029.462891,3034.510986,3034.510986,362100,China,424.831538
3/9/20,2987.180908,2989.205078,2940.714111,2943.291016,2943.291016,414600,China,412.0607422
3/10/20,2918.935059,3000.295898,2904.799072,2996.761963,2996.761963,393300,China,419.5466748
3/11/20,3001.761963,3010.029053,2968.51709,2968.51709,2968.51709,352500,China,415.5923926
3/12/20,2936.016113,2944.465088,2906.283936,2923.486084,2923.486084,307800,China,409.2880518
3/13/20,2804.231934,2910.881104,2799.983887,2887.427002,2887.427002,366500,China,404.2397803
3/16/20,2897.301025,2898.034912,2784.662109,2789.253906,2789.253906,351900,China,390.4955468
3/17/20,2796.283936,2826.906982,2715.220947,2779.641113,2779.641113,306100,China,389.1497558
3/18/20,2792.322021,2815.874023,2728.756104,2728.756104,2728.756104,291200,China,382.0258546
3/19/20,2719.406006,2736.820068,2646.804932,2702.129883,2702.129883,302300,China,378.2981836
3/20/20,2727.019043,2751.895996,2702.49292,2745.61792,2745.61792,252000,China,384.3865088
3/23/20,2677.590088,2703.330078,2656.5,2660.169922,2660.169922,249800,China,372.4237891
3/24/20,2703.019043,2723.406982,2667.133057,2722.437988,2722.437988,257000,China,381.1413183
3/25/20,2775.302979,2788.63501,2757.802002,2781.591064,2781.591064,273100,China,389.422749
3/26/20,2761.895996,2788.503906,2753.427979,2764.910889,2764.910889,234100,China,387.0875245
3/27/20,2792.983887,2805.548096,2771.756104,2772.202881,2772.202881,240800,China,388.1084033
3/30/20,2739.718994,2759.099121,2723.053955,2747.214111,2747.214111,239700,China,384.6099755
3/31/20,2767.306885,2771.167969,2743.11499,2750.295898,2750.295898,218600,China,385.0414257
4/1/20,2743.541016,2773.364014,2731.079102,2734.521973,2734.521973,217300,China,382.8330762
4/2/20,2720.228027,2780.637939,2719.904053,2780.637939,2780.637939,217900,China,389.2893115
4/3/20,2773.575928,2780.586914,2754.072998,2763.987061,2763.987061,200800,China,386.9581885
11/4/19,39.810001,39.84,39.610001,39.650002,39.397968,2860400,Europe,42.54980544
11/5/19,39.610001,39.630001,39.48,39.610001,39.358219,1481800,Europe,42.50687652
11/6/19,39.700001,39.779999,39.610001,39.669998,39.417835,1290400,Europe,42.5712618
11/7/19,39.84,39.869999,39.740002,39.77,39.517204,2477200,Europe,42.67858032
11/8/19,39.66,39.77,39.560001,39.77,39.517204,1201800,Europe,42.67858032
11/11/19,39.639999,39.77,39.619999,39.759998,39.507263,1069100,Europe,42.66784404
11/12/19,39.759998,39.849998,39.689999,39.75,39.49733,1523500,Europe,42.6571164
11/13/19,39.560001,39.669998,39.549999,39.639999,39.388027,1327400,Europe,42.53906916
11/14/19,39.52,39.650002,39.5,39.630001,39.378094,1913700,Europe,42.52834152
11/15/19,39.759998,39.919998,39.759998,39.919998,39.666248,2126600,Europe,42.83954784
11/18/19,39.75,39.990002,39.709999,39.91,39.656311,1501200,Europe,42.82881588
11/19/19,40.049999,40.07,39.779999,39.869999,39.616566,1292600,Europe,42.78589128
11/20/19,39.689999,39.759998,39.48,39.630001,39.378094,1859900,Europe,42.52834152
11/21/19,39.720001,39.759998,39.560001,39.689999,39.43771,1203600,Europe,42.5927268
11/22/19,39.75,39.790001,39.560001,39.639999,39.388027,556200,Europe,42.53906916
11/25/19,39.700001,39.799999,39.68,39.77,39.517204,618500,Europe,42.67858032
11/26/19,39.759998,39.84,39.720001,39.799999,39.547012,710300,Europe,42.71077296
11/27/19,39.759998,39.82,39.709999,39.799999,39.547012,789400,Europe,42.71077296
11/29/19,39.73,39.82,39.66,39.720001,39.467522,2167700,Europe,42.62492376
12/2/19,39.5,39.509998,39.099998,39.240002,38.990574,2512700,Europe,42.10981992
12/3/19,38.939999,39.200001,38.799999,39.200001,38.950829,2881300,Europe,42.06689532
12/4/19,39.509998,39.630001,39.48,39.580002,39.328411,991700,Europe,42.47468388
12/5/19,39.669998,39.68,39.419998,39.540001,39.288666,1150200,Europe,42.43175928
12/6/19,39.830002,39.84,39.700001,39.779999,39.527138,869800,Europe,42.68930904
12/9/19,39.689999,39.75,39.48,39.5,39.24892,1262700,Europe,42.3888336
12/10/19,39.5,39.689999,39.43,39.599998,39.348282,1360900,Europe,42.49614456
12/11/19,39.689999,39.970001,39.689999,39.93,39.676186,2420700,Europe,42.85028088
12/12/19,39.950001,40.34,39.93,40.290001,40.033897,1791000,Europe,43.23660876
12/13/19,40.52,40.82,40.389999,40.5,40.242561,2282100,Europe,43.46196588
12/16/19,40.900002,41.009998,40.869999,40.91,40.649956,1448000,Europe,43.90195248
12/17/19,40.799999,40.810001,40.650002,40.669998,40.41148,1174900,Europe,43.6443984
12/18/19,40.630001,40.66,40.459999,40.52,40.262436,650000,Europe,43.48343088
12/19/19,40.43,40.529999,40.369999,40.509998,40.252495,1668300,Europe,43.4726946
